__;CAMINHO NO XML;CAMPO;ELE;TIPO;OCOR.;TAM.;DESCRIÇÃO;NOTAS EXPLICATIVAS;;;;;;
67;NFSe/infNFSe/DPS/infDPS/prest/;NIF;CE;C;1-1;40;Número de identificação fiscal fornecido por órgão de administração tributária no exterior.;-;;;;;;
68;NFSe/infNFSe/DPS/infDPS/prest/;cNaoNIF;CE;N;1-1;1;"Motivo para não informação do NIF:

0 - Não informado na nota de origem;
1 - Dispensado do NIF;
2 - Não exigência do NIF;";O valor 0 deve ser utilizado como opção de preenchimento do campo somente no compartilhamento de NFS-e pelo municipio com o ADN NFS-e.;;;;;;
69;NFSe/infNFSe/DPS/infDPS/prest/;CAEPF;E;N;0-1;14;Número do Cadastro de Atividade Econômica da Pessoa Física (CAEPF) do prestador do serviço.;;;;;;;
70;NFSe/infNFSe/DPS/infDPS/prest/;IM;E;C;0-1;15;Número do indicador municipal do prestador do serviço.;-;;;;;;
71;NFSe/infNFSe/DPS/infDPS/prest/;xNome;E;C;0-1;150;Nome / Nome Empresarial do prestador.;-;;;;;;
72;NFSe/infNFSe/DPS/infDPS/prest/;end;G;-;0-1;-;Grupo de informações do endereço do prestador de serviço.;-;;;;;;
73;NFSe/infNFSe/DPS/infDPS/prest/end/;endNac;CG;-;1-1;-;Grupo de informações do endereço nacional.;-;;;;;;
74;NFSe/infNFSe/DPS/infDPS/prest/end/endNac/;cMun;E;N;1-1;7;"Código do município do endereço do prestador do serviço.
 (Tabela do IBGE)";-;;;;;;
75;NFSe/infNFSe/DPS/infDPS/prest/end/endNac/;CEP;E;C;1-1;8;"Código numérico do Endereçamento Postal nacional (CEP) 
 do endereço do prestador do serviço.";-;;;;;;
76;NFSe/infNFSe/DPS/infDPS/prest/end/;endExt;CG;-;1-1;-;Grupo de informações do endereço no exterior.;-;;;;;;
77;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;cPais;E;C;1-1;2;"Código do país do endereço do prestador do prestador do serviço.
 (Tabela de Países ISO)";-;;;;;;
78;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;cEndPost;E;C;1-1;1-11;Código alfanumérico do Endereçamento Postal no exterior do prestador do serviço.;-;;;;;;
79;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior do prestador do serviço.;-;;;;;;
80;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, província ou região da cidade no exterior do prestador do serviço.;-;;;;;;
81;NFSe/infNFSe/DPS/infDPS/prest/end/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereço do prestador do serviço.;-;;;;;;
82;NFSe/infNFSe/DPS/infDPS/prest/end/;nro;E;C;1-1;1-60;Número no logradouro do endereço do prestador do serviço.;-;;;;;;
83;NFSe/infNFSe/DPS/infDPS/prest/end/;xCpl;E;C;0-1;1-156;Complemento do endereço do prestador do serviço.;-;;;;;;
84;NFSe/infNFSe/DPS/infDPS/prest/end/;xBairro;E;C;1-1;1-60;Bairro do endereço do prestador do serviço.;-;;;;;;
85;NFSe/infNFSe/DPS/infDPS/prest/;fone;E;N;0-1;6-20;"Número do telefone do prestador.
(Preencher com o Código DDD + número do telefone. 
Nas operações com exterior é permitido informar o código do país + código da localidade + número do telefone)";-;;;;;;
86;NFSe/infNFSe/DPS/infDPS/prest/;email;E;C;0-1;1-80;E-mail do prestador.;-;;;;;;
87;NFSe/infNFSe/DPS/infDPS/prest/;regTrib;G;-;1-1;-;Grupo de informações relativas aos regimes de tributação do prestador de serviços;-;;;;;;
88;NFSe/infNFSe/DPS/infDPS/prest/regTrib/;opSimpNac;E;N;1-1;1;"        Situação perante Simples Nacional:

1 - Não Optante;
   2 - Optante - Microempreendedor Individual (MEI);
   3 - Optante - Microempresa ou Empresa de Pequeno Porte (ME/EPP);";-;;;;;;
89;NFSe/infNFSe/DPS/infDPS/prest/regTrib/;regApTribSN;E;N;0-1;1;"Regime de Apuração Tributária pelo Simples Nacional.

Opção para que o contribuinte optante pelo Simples Nacional ME/EPP (opSimpNac = 3) possa indicar, ao emitir o documento fiscal, em qual regime de apuração os tributos federais e municipal estão inseridos, caso tenha ultrapassado algum sublimite ou limite definido para o Simples Nacional.
 
1 – Regime de apuração dos tributos federais e municipal pelo SN;
2 – Regime de apuração dos tributos federais pelo SN e o ISSQN pela NFS-e conforme respectiva legislação municipal do tributo;
3 – Regime de apuração dos tributos federais e municipal pela NFS-e conforme respectivas legilações federal e municipal de cada tributo;";"1 - Um MEI, identificado como tal na data de competência informada na DPS após a verificação na base de dados do Simples Nacional, será tratado sempre como MEI no Sistema Nacional NFS-e, independentemente de quaisquer circustâncias que o próprio MEI tenha detectado que o descaracterize como MEI. A informação da situação do MEI sempre será aquela que for verificada no Simples Nacional na data de competência informada na DPS.

2 - Uma ME/EPP deixará de apurar o ISSQN pelo Simples Nacional quando atribuir ao campo regAPTribSN os valores 2 ou 3, conforme leiaute DPS.";;;;;;
90;NFSe/infNFSe/DPS/infDPS/prest/regTrib/;regEspTrib;E;N;1-1;1;"        Tipos de Regimes Especiais de Tributação Municipal:

0 - Nenhum;
1 - Ato Cooperado (Cooperativa);
2 - Estimativa;
3 - Microempresa Municipal;
4 - Notário ou Registrador;
5 - Profissional Autônomo;
6 - Sociedade de Profissionais;";-;;;;;;
91;NFSe/infNFSe/DPS/infDPS/;toma;G;-;0-1;-;Grupo de informações relativas ao tomador do serviço;-;;;;;;
92;NFSe/infNFSe/DPS/infDPS/toma/;CNPJ;CE;N;1-1;14;Número da inscrição federal (CNPJ) do tomador de serviço.;-;;;;;;
93;NFSe/infNFSe/DPS/infDPS/toma/;CPF;CE;N;1-1;11;Número da inscrição federal (CPF) do tomador do serviço.;-;;;;;;
94;NFSe/infNFSe/DPS/infDPS/toma/;NIF;CE;C;1-1;40;Número de identificação fiscal fornecido por órgão de administração tributária no exterior.;-;;;;;;
95;NFSe/infNFSe/DPS/infDPS/toma/;cNaoNIF;CE;N;1-1;1;"Motivo para não informação do NIF:

0 - Não informado na nota de origem;
1 - Dispensado do NIF;
2 - Não exigência do NIF;";O valor 0 deve ser utilizado como opção de preenchimento do campo somente no compartilhamento de NFS-e pelo municipio com o ADN NFS-e.;;;;;;
96;NFSe/infNFSe/DPS/infDPS/toma/;CAEPF;E;N;0-1;14;Número do Cadastro de Atividade Econômica da Pessoa Física (CAEPF) do tomador do serviço.;-;;;;;;
97;NFSe/infNFSe/DPS/infDPS/toma/;IM;E;C;0-1;15;Número do indicador municipal do tomador do serviço.;-;;;;;;
98;NFSe/infNFSe/DPS/infDPS/toma/;xNome;E;C;1-1;150;Nome / Nome Empresarial do tomador.;-;;;;;;
